part_num,name,part_cat_id,part_material
30296,Brick Arch 2 x 14 x 2 1/3,Bricks Curved,Plastic
3030,Plate 4 x 10,Plates,Plastic
30303,Plate Special 6 x 6 x 2/3 Cross with Dome,Plates Special,Plastic
3031,Plate 4 x 4,Plates,Plastic
3032,Plate 4 x 6,Plates,Plastic
30324,Wheel Hard Plastic Spoked,Wheels and Tyres,Plastic
3033,Plate 6 x 10,Plates,Plastic
3034,Plate 2 x 8,Plates,Plastic
30343c01,"Window 4 x 10 x 2 Roof Slope Double, Complete Assembly, Trans-Dark Blue Glass",Windows and Doors,Plastic
30343c02,"Window 4 x 10 x 2 Roof Slope Double, Complete Assembly, Trans-Light Blue Glass",Windows and Doors,Plastic
3035,Plate 4 x 8,Plates,Plastic
30350a,Tile Special 2 x 3 with 2 Clips [Angled Clips],Tiles Special,Plastic
30350b,Tile Special 2 x 3 with 2 Clips [Thick Open O Clips],Tiles Special,Plastic
30350c,Tile Special 2 x 3 with 2 Clips [Thick U Clips],Tiles Special,Plastic
30355,Wedge Plate 6 x 12 Left,Plates Angled,Plastic
30356,Wedge Plate 6 x 12 Right,Plates Angled,Plastic
30357,Plate Round Corner 3 x 3,Plates Round Curved and Dishes,Plastic
30359a,"Bar 1 x 8 with Brick 1 x 2 Curved Top End (Original, No Axle Holder)","Bars, Ladders and Fences",Plastic
30359b,Bar 1 x 8 with Brick 1 x 2 Curved Top End (Axle Holder Inside Small End),"Bars, Ladders and Fences",Plastic
3036,Plate 6 x 8,Plates,Plastic
30360,Cylinder 3 x 6 x 2 2/3 Horizontal Hollow Studs,Bricks Round and Cones,Plastic
30361a,Brick Round 2 x 2 x 2 Robot Body - without Bottom Axle Holder,Bricks Round and Cones,Plastic
30363,Slope 18° 4 x 2,Bricks Sloped,Plastic
30367a,Brick Round 2 x 2 Dome Top - Blocked Open Stud without Bottom Axle Holder,Bricks Round and Cones,Plastic
30367b,Brick Round 2 x 2 Dome Top - Blocked Open Stud with Bottom Axle Holder x Shape + Orientation,Bricks Round and Cones,Plastic
